id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id1412755,2,2016-03-18 11:00,2016-03-18 11:00,3,-73.99455261,40.7507019,-73.99437714,40.7509079,N,38
id0180874,1,2016-03-11 0:53,2016-03-11 0:53,1,-73.94532776,40.75149536,-73.94532776,40.75149536,N,23
id1629558,2,2016-05-22 2:17,2016-05-22 2:17,2,-73.95509338,40.94266129,-73.95509338,40.94266129,N,8
id1100163,1,2016-02-12 22:08,2016-02-12 22:09,1,-73.95785522,40.66588593,-73.95832825,40.66600037,N,27
id0688948,1,2016-04-14 20:13,2016-04-14 20:13,1,-74.1618042,40.83649445,-74.1618042,40.83649445,N,15
id3322103,1,2016-06-30 16:27,2016-06-30 16:27,1,-73.97299957,40.75227356,-73.97299194,40.75228119,N,5
id3625960,2,2016-04-29 7:00,2016-04-29 7:00,3,-73.98874664,40.76873016,-73.98938751,40.77127075,N,48
id3636989,1,2016-06-06 8:43,2016-06-06 8:43,1,-74.01000977,40.7059288,-74.00984192,40.70591736,N,9
id0142443,2,2016-03-02 14:11,2016-03-02 14:11,1,-73.79421234,40.65619659,-73.79421234,40.65620041,N,3
id2202971,1,2016-04-15 17:10,2016-04-15 17:11,1,-73.98934174,40.76948547,-73.99033356,40.76993942,N,31
id2040170,1,2016-03-26 2:06,2016-03-26 2:07,1,-73.97548676,40.77038574,-73.97068787,40.76819611,N,38
id1746760,1,2016-04-28 2:39,2016-04-28 2:39,1,-73.9473114,40.7966423,-73.94734192,40.79663849,N,27
id3955542,1,2016-05-09 18:09,2016-05-09 18:09,1,-73.95321655,40.76673889,-73.95333099,40.76678467,N,16
id1019294,2,2016-02-27 14:10,2016-02-27 14:11,5,-73.99188995,40.74982071,-73.99221802,40.7493782,N,21
id0774152,1,2016-05-10 15:27,2016-05-10 15:28,1,-73.97868347,40.75091553,-73.97868347,40.75091553,N,16
id1075331,2,2016-06-10 7:09,2016-06-10 7:10,1,-73.86309814,40.76968002,-73.86309814,40.76968002,N,46
id2105817,1,2016-04-19 2:13,2016-04-19 2:13,1,-73.98719788,40.75056458,-73.98498535,40.75201797,N,45
id2389917,1,2016-02-01 16:52,2016-02-01 16:52,1,-73.943367,40.74952316,-73.943367,40.74952316,N,12
id0502282,1,2016-04-18 19:49,2016-04-18 19:49,1,-73.87378693,40.67914581,-73.87350464,40.67876053,N,6
id2722067,2,2016-04-08 13:14,2016-04-08 13:15,5,-73.99518585,40.72492599,-73.99504852,40.72490311,N,34
id3861750,2,2016-06-17 18:24,2016-06-17 18:24,1,-73.7895813,40.6427803,-73.78957367,40.6427803,N,10
id3984616,1,2016-06-17 12:07,2016-06-17 12:08,2,-73.94141388,40.80868149,-73.94141388,40.80868149,N,46
id0219881,1,2016-06-07 0:23,2016-06-07 0:24,1,-73.9499588,40.79564285,-73.94996643,40.79566574,N,20
id1950746,1,2016-04-09 15:02,2016-04-09 15:02,1,-73.98755646,40.73291779,-73.98755646,40.73291779,N,5
id1515242,2,2016-05-28 5:23,2016-05-28 5:23,1,-73.91560364,40.88362885,-73.91560364,40.88362885,N,4
id2107842,1,2016-03-24 17:21,2016-03-24 17:22,1,-74.00074005,40.71681595,-74.00071716,40.71694946,N,42
id2702548,2,2016-06-12 14:55,2016-06-12 14:55,1,-73.98027802,40.78253174,-73.98027802,40.78253174,N,4
id1632191,2,2016-03-29 2:04,2016-03-29 2:05,3,-73.97277069,40.76353073,-73.97283173,40.76351166,N,44
id1880680,2,2016-04-28 7:45,2016-04-28 7:45,1,-73.93689728,40.76462936,-73.93688202,40.76462936,N,21
id2977888,1,2016-05-03 10:07,2016-05-03 10:07,1,-73.97702026,40.7591095,-73.97698212,40.75912857,N,22
id2130485,1,2016-03-14 21:51,2016-03-14 21:52,1,-73.97200012,40.79158401,-73.97201538,40.79141998,N,25
id0998953,1,2016-05-23 0:16,2016-05-23 0:16,1,-73.87516022,40.76434326,-73.87516022,40.76434326,N,9
id2399441,1,2016-01-06 11:38,2016-01-06 11:38,1,-73.97094727,40.76076126,-73.97080994,40.76089859,N,11
id2997258,2,2016-06-19 20:54,2016-06-19 20:54,1,-74.00785828,40.71171951,-74.00850677,40.71149063,N,7
id0472627,2,2016-06-12 7:07,2016-06-12 7:07,1,-73.91338348,40.75421143,-73.91338348,40.75421143,N,18
id1752118,2,2016-02-16 18:18,2016-02-16 18:18,1,-73.98343658,40.76519012,-73.98377228,40.7653389,N,22
id3550695,1,2016-04-07 17:22,2016-04-07 17:23,1,-73.80529785,40.65078735,-73.79651642,40.64454269,N,49
id0154198,2,2016-03-04 16:13,2016-03-04 16:13,1,-73.95466614,40.77389145,-73.95463562,40.77386856,N,6
id2408131,2,2016-02-13 21:51,2016-02-13 21:52,1,-74.00682831,40.73550797,-74.00800323,40.73562241,N,48
id2498222,2,2016-02-07 14:56,2016-02-07 14:56,1,-73.98287201,40.76932907,-73.98287201,40.76932907,N,11
id0846924,2,2016-04-25 19:31,2016-04-25 19:32,1,-73.95131683,40.77422714,-73.94845581,40.77802277,N,43
id2704199,2,2016-05-25 23:56,2016-05-25 23:56,1,-73.97688293,40.74832916,-73.97683716,40.74837875,N,3
id0992978,1,2016-02-11 21:35,2016-02-11 21:35,1,-73.996521,40.73881149,-73.99652863,40.73880005,N,17
id1982232,2,2016-05-08 21:25,2016-05-08 21:25,1,-73.98747253,40.75937653,-73.98757935,40.75930405,N,14
id1516973,1,2016-06-14 22:29,2016-06-14 22:30,2,-73.96661377,40.75498581,-73.96661377,40.75498581,N,17
id3149761,1,2016-02-16 17:25,2016-02-16 17:25,1,-73.99472809,40.73962021,-73.99475098,40.73960495,N,4
id2185527,1,2016-04-02 20:55,2016-04-02 20:55,1,-73.78974915,40.64296722,-73.78977203,40.64297485,N,9
id1623366,2,2016-05-27 23:00,2016-05-27 23:00,1,-73.97557068,40.76236725,-73.97789764,40.76318359,N,7
id1866204,1,2016-06-16 23:13,2016-06-16 23:14,1,-73.94550323,40.75138474,-73.9455719,40.75143814,N,46
id0053768,1,2016-03-15 10:21,2016-03-15 10:21,1,-73.9822464,40.74985504,-73.9822464,40.74985504,N,3
id1244738,1,2016-02-25 18:28,2016-02-25 18:28,1,-73.90968323,40.73628235,-73.90939331,40.73638153,N,41
id2870164,1,2016-05-04 21:29,2016-05-04 21:30,1,-74.04030609,40.71885681,-74.04030609,40.71885681,N,44
id1073954,2,2016-06-05 23:35,2016-06-05 23:36,1,-73.97463226,40.74850082,-73.97460175,40.74853897,N,24
id3356180,1,2016-06-22 13:35,2016-06-22 13:36,1,-73.97759247,40.76446152,-73.97760773,40.76447678,N,36
id0733250,2,2016-02-26 15:01,2016-02-26 15:02,1,-73.94590759,40.77796936,-73.94590759,40.7779808,N,7
id3071063,2,2016-01-07 19:55,2016-01-07 19:55,2,-73.96694946,40.75482941,-73.9669342,40.75496674,N,3
id3485633,2,2016-04-24 13:52,2016-04-24 13:53,3,-73.98561859,40.7579689,-73.98543549,40.7575264,N,34
id1323906,1,2016-04-04 6:54,2016-04-04 6:55,2,-73.96327972,40.76432037,-73.96327972,40.76432037,N,2
id1769257,1,2016-03-20 15:28,2016-03-20 15:28,1,-73.95237732,40.72728729,-73.95237732,40.72728729,N,18
id2700498,2,2016-01-18 18:19,2016-01-18 18:20,1,-74.39355469,40.78560257,-74.39851379,40.7818222,N,16
id3156582,1,2016-06-09 6:13,2016-06-09 6:13,1,-73.94317627,40.74993134,-73.9431839,40.74993515,N,9
id3896853,2,2016-02-06 12:07,2016-02-06 12:08,1,-73.94065857,40.83293533,-73.94065857,40.83294678,N,41
id2410009,1,2016-01-01 4:35,2016-01-01 4:36,2,-74.20825958,40.83140182,-74.20825958,40.83140182,N,40
id2547505,2,2016-03-01 23:51,2016-03-01 23:51,1,-73.94851685,40.78194046,-73.95011902,40.78018951,N,13
id1222200,1,2016-05-18 20:34,2016-05-18 20:35,1,-73.97148132,40.79311752,-73.96872711,40.79190063,N,33
id2989204,1,2016-03-21 20:30,2016-03-21 20:30,1,-73.92990875,40.81198502,-73.92990875,40.81198883,N,9
id1690881,2,2016-01-21 4:13,2016-01-21 4:14,1,-73.94309998,40.7937088,-73.9382019,40.80039978,N,45
id0559490,1,2016-03-13 16:52,2016-03-13 16:52,1,-73.98378754,40.72970963,-73.98322296,40.73047638,N,14
id1128685,2,2016-05-01 16:09,2016-05-01 16:09,1,-73.78143311,40.64791107,-73.78250122,40.6487999,N,10
id0800130,2,2016-03-21 17:01,2016-03-21 17:01,1,-73.80429077,41.00262833,-73.80428314,41.00254822,N,29
id0805969,1,2016-05-06 15:04,2016-05-06 15:04,1,-73.95589447,40.78764725,-73.95589447,40.78764725,N,6
id0738225,1,2016-02-06 0:49,2016-02-06 0:50,1,-73.98925018,40.74046707,-73.98925018,40.74046707,N,28
id1110988,1,2016-04-14 12:45,2016-04-14 12:45,2,-73.95019531,40.82391357,-73.95019531,40.82391357,N,29
id2447074,2,2016-05-02 12:09,2016-05-02 12:09,1,-73.97677612,40.75190353,-73.97657776,40.75188065,N,19
id1640205,1,2016-01-04 15:26,2016-01-04 15:27,1,-73.87300873,40.77400589,-73.87407684,40.77374268,N,42
id3243817,2,2016-02-18 15:00,2016-02-18 15:00,1,-73.92884064,40.74660873,-73.92884064,40.74660873,N,8
id2003451,1,2016-04-14 3:21,2016-04-14 3:22,1,-73.9937973,40.74676132,-73.99623871,40.74331284,N,28
id3329216,1,2016-02-03 23:40,2016-02-03 23:41,1,-73.98984528,40.72553635,-73.98983765,40.72555161,N,48
id2114213,1,2016-05-24 18:43,2016-05-24 18:43,1,-74.00073242,40.6770134,-74.00140381,40.67728424,N,25
id1660882,1,2016-04-28 16:20,2016-04-28 16:21,1,-73.97475433,40.74622345,-73.97454071,40.74594498,N,38
id2547140,1,2016-02-03 7:12,2016-02-03 7:12,1,-74.00331879,40.71586609,-74.00019836,40.71423721,N,43
id2652369,1,2016-03-08 2:02,2016-03-08 2:02,1,-73.74137115,40.79666138,-73.74134827,40.79666901,N,36
id2218346,2,2016-06-12 17:23,2016-06-12 17:24,1,-73.78644562,40.65224838,-73.78644562,40.65224838,N,18
id1700328,2,2016-03-01 20:56,2016-03-01 20:56,1,-73.95613861,40.77793884,-73.95613861,40.77793884,N,4
id1039474,1,2016-06-25 6:31,2016-06-25 6:32,1,-73.98447418,40.75505447,-73.98101807,40.75963211,N,47
id0305344,1,2016-06-10 6:14,2016-06-10 6:14,1,-73.79018402,40.64663696,-73.79018402,40.64664078,N,6
id0260350,2,2016-02-14 14:09,2016-02-14 14:10,6,-73.77690125,40.64543152,-73.77719116,40.64633942,N,22
id3997354,2,2016-02-06 1:17,2016-02-06 1:18,1,-73.98371887,40.72306824,-73.98497772,40.72409821,N,42
id3884014,1,2016-05-18 21:09,2016-05-18 21:10,1,-73.98160553,40.75014496,-73.98159027,40.75016022,N,19
id3382186,2,2016-05-29 20:39,2016-05-29 20:39,1,-73.98179626,40.76513672,-73.98205566,40.76457214,N,15
id2461143,1,2016-05-09 20:36,2016-05-09 20:36,1,-74.00019073,40.74296188,-73.99991608,40.74330139,N,15
id3590034,1,2016-04-19 15:36,2016-04-19 15:36,1,-73.92819977,40.65377045,-73.92819977,40.65376663,N,2
id1991701,1,2016-05-30 1:53,2016-05-30 1:54,1,-73.92789459,40.83426666,-73.92790222,40.83424759,N,29
id3017351,1,2016-01-04 20:56,2016-01-04 20:57,1,-73.99504089,40.76029587,-73.99512482,40.76016235,N,37
id3876330,2,2016-03-08 23:42,2016-03-08 23:42,2,-73.78910828,40.64139175,-73.78842926,40.64200974,N,4
id1327192,1,2016-04-24 17:32,2016-04-24 17:32,1,-73.94286346,40.7518959,-73.94328308,40.75208282,N,2
id2659206,1,2016-01-03 15:36,2016-01-03 15:36,1,-73.99468231,40.73186493,-73.99468994,40.73186111,N,5
id3925447,1,2016-01-13 17:40,2016-01-13 17:40,1,-73.99721527,40.76044464,-73.99689484,40.76026154,N,5
id0743488,2,2016-04-06 7:54,2016-04-06 7:55,2,-73.96942902,40.76058578,-73.96961212,40.76038742,N,35
id2536510,1,2016-04-17 11:44,2016-04-17 11:44,1,-73.94038391,40.78642273,-73.94029999,40.78637314,N,1
id0918945,2,2016-04-27 10:54,2016-04-27 10:54,6,-73.9659729,40.77104568,-73.96566772,40.77147293,N,30
id0339742,1,2016-03-08 23:37,2016-03-08 23:37,1,-73.60162354,41.02950668,-73.60162354,41.02950668,N,45
id2099215,1,2016-03-15 20:43,2016-03-15 20:43,1,-73.9936676,40.73586655,-73.99138641,40.73495102,N,31
id2808489,1,2016-05-05 15:11,2016-05-05 15:11,1,-73.94707489,40.74494553,-73.94707489,40.74494553,N,13
id2951025,1,2016-06-16 12:34,2016-06-16 12:34,1,-73.9018631,40.76380539,-73.9018631,40.76380539,N,34
id0826736,1,2016-05-31 10:22,2016-05-31 10:22,2,-73.79026794,40.64689255,-73.79026794,40.64689255,N,19
id1947369,1,2016-03-27 2:04,2016-03-27 2:05,1,-74.00804901,40.7382164,-74.00804901,40.73822403,N,7
id1095867,1,2016-06-07 18:08,2016-06-07 18:08,1,-73.94556427,40.75164795,-73.94559479,40.75167847,N,10
id0753277,1,2016-01-27 22:29,2016-01-27 22:29,1,-74.20985413,40.81685257,-74.20985413,40.81685257,N,27
id2212693,1,2016-03-16 16:48,2016-03-16 16:49,1,-73.78213501,40.64467621,-73.78179932,40.64477539,N,9
id2083917,1,2016-02-29 0:54,2016-02-29 0:55,1,-73.9887085,40.74468994,-73.99097443,40.74544907,N,31
id3247644,1,2016-04-02 17:46,2016-04-02 17:46,1,-74.04155731,40.70874023,-74.04156494,40.70874023,N,28
id0878386,1,2016-05-21 14:32,2016-05-21 14:32,1,-74.17745972,40.69532394,-74.17745972,40.69532394,N,17
id0508130,2,2016-04-30 0:00,2016-04-30 0:01,3,-74.00066376,40.74740982,-74.00318909,40.74394989,N,11
id1593246,1,2016-06-23 8:10,2016-06-23 8:11,1,-73.9431076,40.74972153,-73.9431076,40.74972153,N,27
id3843792,1,2016-04-17 5:03,2016-04-17 5:03,1,-73.88814545,40.73904419,-73.88951111,40.73936081,N,28
id3868128,1,2016-02-11 14:41,2016-02-11 14:42,2,-73.97227478,40.75723267,-73.97234344,40.75721741,N,10
id2271006,1,2016-04-22 3:33,2016-04-22 3:33,1,-73.98775482,40.72103119,-73.98789215,40.72090912,N,19
id1769332,2,2016-01-18 18:25,2016-01-18 18:26,2,-74.00733948,40.70676041,-74.00634003,40.70621872,N,33
id2714150,2,2016-06-27 17:22,2016-06-27 17:22,1,-73.9278717,40.74406433,-73.9278717,40.74403763,N,2
id3638368,1,2016-03-12 23:30,2016-03-12 23:31,1,-73.99925232,40.74405289,-73.99932098,40.74436951,N,47
id3541058,1,2016-02-27 18:20,2016-02-27 18:21,1,-74.02651215,40.74811172,-74.02651215,40.74811172,N,45
id3738922,1,2016-02-12 11:33,2016-02-12 11:33,1,-73.78186798,40.64467621,-73.7818222,40.64458847,N,8
id1604742,2,2016-06-03 6:29,2016-06-03 6:30,1,-73.9801178,40.74084854,-73.98262024,40.74198151,N,29
id2523093,1,2016-04-18 20:02,2016-04-18 20:02,1,-73.94549561,40.75168228,-73.94549561,40.75167847,N,2
