Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score,Credit_History_Months
37,,17251.38,1654.615,6,3,7,7,5,15,10.0,2431.64,32.70581750680670,Yes,57.35116518894050,54.07668313620940,334.03365167485000,Standard,141
23,,36822.29,3132.524166666670,8,7,6,4,16,18,5.0,125.25,39.649801731477600,No,95.8007129241996,38.11405465744950,429.33764908501800,Good,301
25,Doctor,80108.31,6866.6925,5,3,17,0,25,19,1.0,997.28,32.94802192136000,Yes,0.0,341.3768771883490,625.2923728116510,Standard,215
20,Scientist,69977.6,5978.466666666670,10,7,20,9,49,18,11.0,3042.36,35.6071056353549,Yes,485.75043098703800,177.90559324456900,214.19064243506100,Standard,154
16,Musician,78988.48,6449.373333333330,9,5,29,7,22,17,9.0,1746.9,38.16357110386920,,291.78276034215300,456.3694644918270,176.78510849935300,Poor,127
45,Journalist,41746.76,3651.896666666670,8,5,31,3,62,22,8.0,1936.79,30.089952399504000,Yes,102.28339754384300,31.560009656843000,471.34625946598100,Standard,230
19,Lawyer,73737.36,5936.78,7,3,18,4,15,20,2.0,1219.39,33.015928099564900,Yes,214.8134632011100,424.0584111572640,244.80612564162600,Standard,377
34,Musician,88362.46,7255.538333333330,5,2,8,3,15,8,4.0,325.93,31.528676901527900,No,211.1843903373820,283.38123281541500,480.9882101805360,Good,371
45,Entrepreneur,118248.6,10115.05,5,1,4,0,13,10,4.0,191.09,29.14953014605080,,0.0,227.6187415383300,1023.8862584616700,Good,205
26,Scientist,60162.1,5197.508333333330,5,7,5,7,18,10,7.0,1037.45,33.183942270673500,Yes,220.2137267039480,153.44754019420400,396.0895664351810,Standard,159
18,Musician,75273.24,6552.77,8,6,32,5,50,10,6.0,2497.34,38.052134418387200,Yes,222.6190561215210,170.31515916376800,512.3427847147110,Poor,65
18,Media_Manager,54820.89,4295.4075,8,7,28,6,36,20,8.0,4795.13,35.802489136096500,Yes,169.48198431622100,479.5857747498440,70.47299093393600,Standard,35
42,Entrepreneur,58674.66,4824.555,8,5,15,4,57,25,11.0,2425.38,34.990813267319400,Yes,116.10341691461700,628.7091521225690,27.642930962814000,Standard,162
30,Architect,30390.44,2721.5366666666700,5,6,5,4,19,18,4.0,580.31,35.832413001799900,No,64.84803820501800,,327.4436391537590,Standard,293
42,,45207.54,3507.295,8,8,24,6,21,20,9.0,2497.48,29.575344807598200,Yes,148.91327341500900,131.0961680113020,320.7200585736890,Poor,199
18,Scientist,144546.72,10653.043107890000,0,3,7,2,14,5,1.0,1045.11,25.51813893799740,No,1293.5054487288100,893.3631575106710,430.6042858705390,Good,281
39,Engineer,30346.35,2651.8625,5,4,14,7,26,9,5.0,523.56,40.39063355179530,Yes,96.72128021256920,99.62847379534060,348.83649599209000,Standard,106
47,Mechanic,18681.465,1584.78875,2,3,9,2,6,8,3.0,327.88,37.455203153402000,No,24.821424978660400,32.94987664874940,360.70757337259000,Good,375
42,Scientist,9841.34,690.1116666666670,8,9,31,5,61,15,10.0,4984.82,37.82197102652430,Yes,36.67512791916930,20.40645221387890,271.92958653361900,Standard,60
35,Media_Manager,72330.98,6300.581666666670,0,3,11,1,1,6,1.0,596.78,41.98152541338190,No,44834.0,147.02511766105600,691.6532548471720,Standard,398
15,Teacher,43241.49,3580.4575,10,7,30,6,36,17,10.0,2174.16,39.78232873796410,Yes,162.23896307012000,410.19024914620100,75.61653778367940,Standard,146
19,Mechanic,34106.78,2767.231666666670,8,5,17,0,8,10,0.0,996.54,39.49437696715400,Yes,0.0,118.67437531471900,448.04879135194800,Standard,388
24,Teacher,129067.59,10795.6325,1,3,1,4,9,5,0.0,137.15,24.49869172989600,No,389.3056724525230,215.21748793274500,715.0400896147320,Good,319
21,Accountant,44719.17,3969.5975,6,6,29,7,46,19,14.0,3818.57,29.38080624152670,Yes,248.599885855438,115.76449205650200,282.5953720880600,Poor,162
47,Accountant,17787.34,1242.2783333333300,8,4,16,2,2,15,0.0,730.9,26.314310085269300,No,21524.0,98.42059162449930,295.74360782447900,Standard,359
42,Teacher,103353.06,8527.755,3,3,6,1,4,6,2.0,1374.56,28.65012699019420,No,64.00168567310890,124.28948244015400,904.4843318867370,Good,312
38,Journalist,31021.24,2756.103333333330,7,7,11,4,20,20,7.0,852.81,37.1715264449191,No,90.7591784649516,56.97757258677190,367.8735822816100,Standard,399
37,Journalist,134978.24,10541.520749550600,8,5,15,2,9,16,5.0,668.14,38.7506935929968,Yes,662.7777405037290,780.4179941398080,470.38884913919900,Good,320
28,Writer,39800.12,3047.6766666666700,7,5,12,3,17,18,4.0,660.69,24.794356665154500,Yes,58.48765733950960,404.21822446877400,132.06178485838300,Standard,213
17,Manager,14841.35,1437.779166666670,6,5,17,7,64,14,6.0,3865.15,23.94861058495270,Yes,71.54474307214660,171.08625776015500,191.14691583436500,Standard,91
22,,66105.4,5653.783333333330,6,8,31,5,26,22,12.0,1549.56,38.6482220212851,,214.07212305606200,274.572674146153,366.7335361311180,Poor,140
28,Mechanic,15398.95,1548.2458333333300,1,7,5,4,1,1,8.0,343.84,28.13568775694780,No,34.81396985624470,95.38656229488780,294.6240511822010,Standard,346
18,Developer,27070.07,2518.839166666670,7,3,11,4,12,15,6.0,919.76,34.06157477482700,,73.23331847935160,314.08757466977000,154.56302351754500,Standard,351
53,Engineer,17992.775,1769.3979166666700,3,5,6,0,4,12,2.0,565.22,23.13682418839410,No,0.0,95.65646110813340,341.28333055853300,Poor,229
55,Musician,139354.48,10872.26505763550,3,3,18,0,19,16,3.0,519.3,40.87876030803900,No,760.6082756978760,737.8098216113030,695.4775117220310,Good,244
22,Teacher,18305.25,1557.4375,2,1,4,0,14,9,3.0,363.51,29.81472348319060,,0.0,142.7518957641690,302.99185423583100,Good,247
25,Journalist,27865.26,2606.105,4,3,6,1,22,19,5.0,635.59,30.82107192157650,Yes,17.69844332156170,73.26685797872420,419.6451986997140,Standard,367
36,Architect,23404.86,1899.405,6,5,7,0,12,17,5.0,35.54,32.491575969702400,Yes,0.0,86.55597978430910,393.3845202156910,Standard,350
33,Musician,14205.09,1086.7575,7,10,21,8,33,18,16.0,4845.24,25.865418957372600,,49.032395469113000,86.99729208827100,262.646062442616,Poor,161
28,Scientist,62320.56,5068.38,9,9,18,5,23,15,15.0,3589.56,38.3374492978831,,171.34555972446400,171.51086339613400,423.9815768794010,Standard,23
20,Writer,144881.68,11877.473333333300,3,4,15,4,5,13,2.0,404.51,39.27637970413030,Yes,414.65601320398500,990.2115187956020,72.87980133374600,Standard,312
38,Media_Manager,108147.3,8926.275,3,6,6,4,14,20,0.0,1113.06,36.423766643057500,Yes,211.1795815692460,328.48004275460200,612.9678756761530,Standard,345
27,Lawyer,17759.1,1533.925,6,8,19,5,24,21,10.0,3598.39,39.37829032617330,Yes,64.55062048800420,130.31795049682500,228.5239290151710,Poor,59
27,Writer,134321.44,9997.59251367481,3,5,12,4,26,21,3.0,1428.68,31.98128603504020,Yes,1320.5490633616200,259.4569535922820,833.3001360379530,Good,396
24,Lawyer,61008.0,5235.0,10,5,32,4,16,19,12.0,1755.81,29.072387168827400,Yes,189.4265306646310,201.68609119514100,382.3873781402280,Poor,110
19,,28665.76,2582.813333333330,7,3,5,1,16,13,0.0,1237.46,31.423496811604300,,22.688177579924700,117.04735282565400,378.5458029277550,Standard,293
18,,56803.71,4620.6425,7,5,3951,6,46,23,11.0,2593.44,32.078527638348800,Yes,187.190218862138,186.06855656544000,348.80547457242200,Standard,72
32,Architect,38364.82,2904.068333333330,9,6,32,4,34,22,11.0,1973.63,26.07823491455770,Yes,74.85037187731450,123.9038605928890,361.6526008631300,Poor,233
21,Lawyer,66528.24,5733.02,5,5,872,0,17,9,2.0,1460.8,27.502572021101900,Yes,0.0,97.04179086433910,716.2602091356610,Standard,273
55,Doctor,8908998.0,1904.9504166666700,1,7,3,3,13,9,2.0,339.11,34.2863254560188,No,39.214914434761800,93.05878805164700,348.22133918025800,Poor,202
19,Journalist,31122.79,2761.5658333333300,7,5,12,0,28,20,2.0,358.6,30.794847447390800,No,0.0,220.5130602079840,325.6435231253490,Standard,273
34,Engineer,19777.05,1728.0875,5,3,3,3,24,3,1.0,186.16,30.277147485373200,No,29.045533320072100,193.1579357944060,240.60528088552200,Poor,262
25,Musician,20188.02,1851.335,4,3,6,3,9,6,0.0,399.92,24.02168184658070,No,25.58028081581640,50.96786774008400,358.58535144410000,Good,248
54,Scientist,41345.58,3260.465,0,5,10,0,12,0,7.0,646.47,30.252518369737600,No,0.0,,323.1918537885080,Poor,340
32,Engineer,55151.04,4704.92,10,6,23,6,29,19,9.0,1743.83,37.18200362927910,Yes,171.82306738090200,112.54961484800000,436.1193177710980,Poor,152
29,Architect,147499.6,12353.633333333300,2,2,12,2,14,0,2.0,1250.67,25.362821744062700,No,192.2064832741600,825.2416859639530,507.91516409522000,Good,249
42,Architect,20005.22,1683.101666666670,8,3,6,4,22,20,8.0,1859.45,38.05357747176570,Yes,59.51321413246300,219.65620147447800,179.14075105972600,Standard,149
32,Scientist,19795.52,1662.6266666666700,7,10,34,8,15,21,15.0,3135.02,34.36590975710210,Yes,130.47547071749000,143.60987072812400,162.17732522105200,Poor,31
54,Manager,80396.86,6623.738333333330,5,7,9,0,8,10,0.0,1357.54,31.31834535848110,No,0.0,305.4240013071360,646.9498320261970,Standard,320
42,Writer,57610.32,4517.86,8,10,25,9,41,23,7.0,4428.64,30.254403383886300,Yes,256.23417922699000,135.04495673019000,310.5068640428200,Poor,18
36,,18717.02,1294.7516666666700,8,5,15,5,14,20,7.0,2103.99,32.72190460900140,Yes,60.64699329311760,172.28316529161300,186.545008081936,Poor,184
17,Journalist,19163.22,1346.9350000000000,3,7,7,2,23,18,5.0,2226.37,38.08096368599000,Yes,24.17564764974170,15.206733513025000,345.31111883723300,Standard,194
27,Musician,63536.98,5382.748333333330,4,5,12,2,29,14,4.0,89.62,34.95044798544690,Yes,69.10085253082350,517.0200746737140,242.1539061287960,Standard,369
14,Accountant,27796.42,2300.3683333333300,6,5,16,2,20,13,7.0,1073.94,37.156218738469900,Yes,36.067631284149800,75.71790453528290,368.2512975139010,Standard,327
30,Engineer,132872.72,11203.726666666700,3,3,10,2,14,5,4.0,89.68,29.55005879344250,No,144.83068233841500,173.51080191052000,1042.0311824177300,Good,339
42,Architect,140014.36,11662.863333333300,3,7,18,4,27,9,3.0,1151.7,27.06371959754870,,348.6203964507330,,823.0863932421240,Standard,212
48,Accountant,37071.2,3006.2666666666700,1,6,6,4,14,5,3.0,869.99,30.68536709760710,,74.69027138495910,57.42272997141860,408.513665310289,Good,224
20,Entrepreneur,41735.55,3357.9625,0,3,8,4,15,4,3.0,1480.92,34.51094824202840,,109.61414671334200,87.83142993533700,388.3506733513210,Standard,297
46,Entrepreneur,24585.55,2316.795833333330,3,4,14,2,9,14,0.0,195.38,30.63404462673010,Yes,30.447776935964100,43.2662430770333,397.965563320336,Standard,321
27,Manager,15013.73,1127.1441666666700,7,4,3010,6,23,9,5.0,1403.17,27.426279563795200,Yes,51.547924156742100,129.52713329283100,221.63935921709400,Standard,144
44,Journalist,126006.68,10693.556666666700,4,3,20,3,16,12,0.0,385.8,30.68741311246650,Yes,239.7673292742660,264.1068677879900,835.4814696044110,Standard,313
49,Developer,102885.32,8643.776666666670,3,5,16,1,13,13,4.0,605.34,28.406960520022900,Yes,74.1586635323227,298.14396084590600,742.0750422884380,Standard,348
38,Teacher,34212.01,2847.000833333330,6,5,10,3,16,10,1.0,512.38,32.64457795122380,No,66.6764133130149,26.270084804365900,431.7535852159530,Standard,339
26,Entrepreneur,118487.16,9810.93,8,4,20,4,17,20,1.0,140.26,33.66718197569840,No,301.5608682455750,354.2155580510480,595.3165737033770,Standard,376
26,Mechanic,77418.52,6450.543333333330,7,9,20,7,38,24,6.0,3962.08,34.949404403305100,,339.0310322831330,135.73984565768300,410.283455392517,Poor,140
46,Architect,24199.24,1951.6033333333300,3,7,6,1,26,14,2.0,784.35,34.004875152269800,No,13.886305431201700,36.25883985476770,405.01518804736400,Good,254
48,,28587.29,2621.2741666666700,4,1,7,0,0,2,1.0,1496.38,28.10611882257150,No,0.0,123.20256314871700,408.9248535179500,Good,297
32,Manager,16578.115,1426.5095833333300,3,5,15,2,10,12,7.0,1054.86,29.04880468121180,Yes,21.42597208431390,53.91212945916460,347.3128567898550,Standard,278
20,Writer,74647.4,6327.616666666670,6,5,20,6,52,17,8.0,4167.43,26.03835259956690,Yes,309.5754020995850,142.36149897540700,420.8247655916750,Standard,159
23,Engineer,16852.635,1530.8003731857500,4,6,9,0,27,13,8.0,775.22,22.389445583341200,Yes,160.58587681425200,186.20064563508300,272.93797936491700,Standard,353
20,Scientist,33502.1,2890.8416666666700,7,9,27,6,57,20,9.0,2362.68,32.80233908313250,Yes,158.60792715213000,191.27711208245100,229.1991274320860,Standard,216
27,Media_Manager,91690.53,7795.8775,2,6,2,2,6,8,4.0,1295.18,26.198202316669400,,130.85085776482200,545.478027653361,383.2588645818180,Good,374
37,Entrepreneur,30502.54,2595.8783333333300,8,7,24,7,25,20,8.0,1672.68,37.509228766692200,Yes,154.3933582633660,106.58244538094500,248.61202968902200,Poor,177
20,Media_Manager,30272.61,2258.7175,3,3,15,1,30,6,8.0,180.94,24.924221555815800,Yes,17.975850989790300,145.72324238372200,332.1726566264880,Standard,192
31,Accountant,59971.42,5190.618333333330,8,5,6,3,11,20,0.0,203.03,32.60829424933840,No,107.93724129573400,398.1844950780820,302.9400969595180,Standard,243
32,Accountant,42220.39,3490.3658333333300,1,4,1,4,5,9,1.0,257.81,32.08385287697890,,135.2703961897120,181.28261347470600,322.48357366891500,Standard,273
51,Architect,43581.13,3566.7608333333300,4,3,9,3,14,3,2.0,900.83,25.612729926308900,No,103.03307766103500,57.05960795611530,446.58339771618300,Good,280
49,Media_Manager,28681.38,2127.115,1338,5,2,0,2,5,4.0,467.64,31.40347042919080,No,0.0,161.8166084076110,330.8948915923890,Good,233
34,Doctor,35376.32,2717.026666666670,8,3,19,3,12,18,1241.0,1166.47,26.126158923104400,Yes,58.2166703210756,87.9821740640868,375.5038222815040,Standard,224
49,Doctor,15488.885,1273.7404166666700,0,4,4,0,6,0,4.0,1287.59,31.10834677828320,No,0.0,144.92263802154100,272.45140364512500,Standard,306
26,Entrepreneur,19853.35,1726.4458333333300,7,1201,6,2,21,20,2.0,816.46,33.435842608775200,No,28.071965473150300,123.7961781192920,290.77643974089100,Standard,229
32,Writer,115643.01,9910.9175,3,7,2,3,18,1,1.0,951.36,33.02244356872270,No,195.39400914592800,102.03197848026600,933.6657623738060,Poor,217
16,Mechanic,35161.46,2930.1216666666700,10,8,32,6,56,19,15.0,4445.32,28.411733589875300,Yes,113.39108418671400,37.424984431907500,392.19609804804500,Poor,99
34,Writer,9133.045,777.0870833333330,6,7,34,6,63,16,11.0,3035.88,37.62121971544450,Yes,30.20103247533150,42.17712509602920,285.33055076197300,Standard,109
22,Entrepreneur,19283.47,1886.9558333333300,10,8,34,9,38,15,12.0,4404.48,38.017775939976600,Yes,84.6164317306805,25.493821949901900,318.58532965275100,Standard,73
33,Media_Manager,9444.795,850.06625,7,8,28,6,26,9,7.0,1701.58,35.18216453722450,Yes,27.59495029732190,28.496457065596600,278.91521763708100,Standard,65
46,Doctor,70112.78,5989.7316666666700,1,7,3,2,5,3,2.0,877.06,29.764511841000700,,69.71794787486100,545.8562338550750,263.39898493673000,Poor,300
17,,15604.56,1389.38,9,5,25,3,27,23,10.0,2686.18,31.092972354993200,Yes,37.91235014270590,65.87879179651590,325.1468580607780,Poor,233
37,Manager,68935.26,5518.605,1,5,8,3,14,3,4.0,457.81,36.50307552021690,No,102.79630864901500,162.81648174010000,536.247709610885,Good,309
42,Doctor,31807.0,2733.583333333330,8,3,14,2,18,8,1.0,611.04,32.96827475415050,Yes,35.55369086237440,202.94853823809900,304.8561042328600,Good,247
37,Musician,10025.2,1089.4333333333300,10,10,21,7,23,14,12.0,1409.58,27.181009262288600,Yes,41.43157633631990,42.329525820167200,315.1822311768460,Poor,189
39,Media_Manager,64036.88,5591.406666666670,8,4,15,4,29,17,4.0,1635.19,30.47750689504450,,127.82606133041400,307.9415911364600,403.37301419979300,Standard,93
30,Teacher,9783.245,908.2704166666670,8,6,29,8,45,17,7.0,1684.06,26.63082668587640,Yes,52.83913367020970,84.6467006784026,243.3412073180540,Poor,227
22,,86522.72,7098.2266666666700,8,5,13,1,14,8,13.0,455.22,33.04000293842980,Yes,45.2646813787989,577.9699494898530,376.58803579801500,Standard,339
21,Lawyer,124419.66,10221.305,3,4,11,4,13,9,0.0,923.85,32.05791073884320,No,344.18153557232300,338.64743982080400,589.3015246068730,Standard,383
24,Developer,28230.92,2184.5766666666700,8,6,32,7,49,16,11.0,2989.13,30.32802112977130,Yes,132.48112788009800,278.5433234444490,97.4332153421192,Standard,83
28,Developer,10623.765,895.3137500000000,6,3,18,3,7,13,7.0,181.68,29.410015646583900,Yes,26.515279960070100,45.37842492909020,307.6376701108400,Standard,192
19,Teacher,11970.955,1169.5795833333300,8,4,7,2,26,8,1.0,889.62,33.26282622684620,No,14.885194696934200,44.42759779270030,317.64516584369900,Standard,311
41,Manager,112362.76,9279.563333333330,4,4,5,4,25,20,2.0,1358.65,41.12672063145670,No,236.27765779486900,119.96178536493600,811.7168901735280,Standard,285
32,Manager,131577.84,11205.82,2,3,3,2,18,2,2.0,816.21,34.45628378061130,No,185.4121959034530,236.15383719265600,939.0159669038910,Standard,262
49,Entrepreneur,32314.44,2805.87,2,5,5,3,9,11,0.0,1339.6,30.11502583743050,No,80.21419153549970,95.19105821087230,375.181750253628,Good,264
20,Manager,61235.6,4870.966666666670,0,5,7,1,13,6,2.0,71.52,38.845106792674400,No,27.65459979566920,214.8214092990240,534.6206575719740,Good,395
40,Journalist,19078.93,1304.9108333333300,857,7,20,0,19,15,8.0,265.86,30.428344978187900,Yes,0.0,55.624209301408400,354.86687403192500,Standard,224
34,Mechanic,83703.52,6955.293333333330,6,9,27,8,31,20,10.0,4525.08,32.725185486682800,Yes,363.23731168748400,386.6270806799340,215.6649409659150,Poor,129
46,Musician,99127.04,8217.586666666670,8,3,10,4,22,19,7.0,1126.35,37.82668914771030,Yes,245.9851478363630,246.6601884341720,589.113330396132,Standard,319
15,Writer,10405.01,694.0841666666670,6,7,30,5,54,15,9.0,2086.22,31.70034659053250,Yes,33.60279492191520,45.769449047484000,250.03617269726700,Poor,177
43,Lawyer,135895.96,11304.663333333300,8,4,6,0,14,17,1.0,429.77,39.48680594082230,No,0.0,166.14809854595200,1214.3182347873800,Standard,223
22,Doctor,29608.46,2625.3716666666700,7,8,31,7,39,15,10.0,1286.07,30.18915882970700,Yes,141.76428225323700,123.88724858514300,286.8856358282870,Poor,183
30,Entrepreneur,29999.94,2767.995,10,9,15,5,42,21,10.0,2593.23,27.205198191901700,Yes,101.64748417267200,171.32690172343200,283.8251141038960,Poor,195
15,Musician,52972.5,4600.375,7,5,32,3,46,24,11.0,2196.59,30.95751108435660,Yes,112.69576824348200,121.46301579304500,505.8787159634720,Poor,103
19,Media_Manager,113781.39000000000,9549.7825,1,4,1,0,14,8,4.0,1030.2,28.592942540839400,No,0.0,617.0792665202720,597.8989834797280,Standard,190
30,Lawyer,15746.63,1122.2191666666700,4,3,18,5,17,13,4.0,2098.83,26.36631977162410,Yes,44.04040477401770,68.00992311920580,270.1715887734430,Standard,140
19,Lawyer,97961.96,8205.496666666670,4,6,6,0,7,12,0.0,750.95,29.853684636794400,No,0.0,436.9590010285340,663.5906656381330,Poor,338
48,Architect,31895.07,2488.9225,3,6,2,4,16,8,2.0,220.33,29.70376621388740,No,60.322845444677100,97.91526493361630,360.6541396217070,Poor,265
31,Architect,30922.28,2494.8566666666700,1,5,12,2,19,1,2.0,957.53,29.963917141028000,No,30.338204255748000,,418.96254652795200,Poor,255
37,Journalist,25530.33,2137.5275,3,4,19,0,17,13,8.0,761.18,37.65334445988740,Yes,0.0,178.00103841776100,325.7517115822390,Standard,378
51,Doctor,110786.64000000000,9299.22,4,6,5,3,12,15,2.0,226.7,28.259785293447700,Yes,209.314506964946,312.52052767789,658.0869653571640,Standard,294
